Relacja,Szczyt,Metryka,Symulacja,Referencja,Różnica bezwzględna,Różnica procentowa
AL,popołudniowy,E/h,307.0,313.0,-6.0,-1.9169329073482428
AL,popołudniowy,P/h,307.0,311.0,-4.0,-1.2861736334405145
AP,popołudniowy,E/h,25.0,21.0,4.0,19.047619047619047
AP,popołudniowy,P/h,25.0,25.0,0.0,0.0
AW,popołudniowy,E/h,515.0,527.0,-12.0,-2.2770398481973433
AW,popołudniowy,P/h,515.0,520.0,-5.0,-0.9615384615384616
BL,popołudniowy,E/h,48.0,48.0,0.0,0.0
BL,popołudniowy,P/h,48.0,48.0,0.0,0.0
BP,popołudniowy,E/h,313.0,316.0,-3.0,-0.949367088607595
BP,popołudniowy,P/h,313.0,314.0,-1.0,-0.3184713375796179
BW,popołudniowy,E/h,42.0,31.0,11.0,35.483870967741936
BW,popołudniowy,P/h,42.0,42.0,0.0,0.0
CL,popołudniowy,E/h,18.0,16.0,2.0,12.5
CL,popołudniowy,P/h,18.0,18.0,0.0,0.0
CP,popołudniowy,E/h,48.0,46.0,2.0,4.3478260869565215
CP,popołudniowy,P/h,48.0,49.0,-1.0,-2.0408163265306123
CW,popołudniowy,E/h,453.0,458.0,-5.0,-1.0917030567685588
CW,popołudniowy,P/h,453.0,462.0,-9.0,-1.948051948051948
DL,popołudniowy,E/h,16.0,16.0,0.0,0.0
DL,popołudniowy,P/h,16.0,16.0,0.0,0.0
DP,popołudniowy,E/h,24.0,19.5,4.5,23.076923076923077
DP,popołudniowy,P/h,24.0,24.0,0.0,0.0
DW,popołudniowy,E/h,18.0,17.0,1.0,5.88235294117647
DW,popołudniowy,P/h,18.0,18.0,0.0,0.0
Nieznane,popołudniowy,E/h,20.0,,,
Nieznane,popołudniowy,P/h,20.0,,,
Skrzyżowanie,popołudniowy,E/h,1847.0,1828.5,18.5,1.0117582718074924
Skrzyżowanie,popołudniowy,P/h,1847.0,1847.0,0.0,0.0
Wlot A,popołudniowy,E/h,847.0,861.0,-14.0,-1.6260162601626018
Wlot A,popołudniowy,P/h,847.0,856.0,-9.0,-1.0514018691588785
Wlot B,popołudniowy,E/h,403.0,395.0,8.0,2.0253164556962027
Wlot B,popołudniowy,P/h,403.0,404.0,-1.0,-0.24752475247524752
Wlot C,popołudniowy,E/h,519.0,520.0,-1.0,-0.19230769230769232
Wlot C,popołudniowy,P/h,519.0,529.0,-10.0,-1.890359168241966
Wlot D,popołudniowy,E/h,58.0,52.5,5.5,10.476190476190476
Wlot D,popołudniowy,P/h,58.0,58.0,0.0,0.0
Wlot N,popołudniowy,E/h,20.0,,,
Wlot N,popołudniowy,P/h,20.0,,,
